slug,title_en,title_ru,recovery_status,set_slugs
face-hugger,Face Hugger,Лицесос,full_page,star-munchkin
face-paint,Face Paint,Боевая раскраска,full_page,apocalypse|munchkin-apocalypse
face-sucker,Face Sucker,Лицесос,full_page,munchkin
faery-gold,Faery Gold,Феёское золото,full_page,munchkin-bites
fail-the-test-of-the-starstone,Fail the Test of the Starstone,Провали испытание Звёздного камня,set_listing_only,munchkin-pathfinder
failcor,Failcor,,set_listing_only,dragons-trike
fairy-dragon,Fairy Dragon,,set_listing_only,dragons-trike
fairy-dust,Fairy Dust,Фейский кофей,full_page,munchkin-bites
fairy-favor,Fairy Favor /,,full_page,fairy-dust|munchkin-fairy-dust
fairy-fortune,Fairy Fortune /,,full_page,fairy-dust|munchkin-fairy-dust
fairy-unfairness,Fairy Unfairness /,,full_page,fairy-dust|munchkin-fairy-dust
faithful-robot,Faithful Robot,Верный Робот,full_page,star-munchkin
fake-beard,Fake Beard,Накладная борода,full_page,unnatural-axe
fake-ears,Fake Ears,Нахлобушки,full_page,clerical-errors
fake-grass,Fake Grass /,,full_page,munchkin-easter-eggs
fake-horns,Fake Horns /,,full_page,pants-macabre
fake-passport,Fake Passport /,,full_page,munchkin-impossible
fake-tentacle,Fake Tentacle,Ложнощупальце,full_page,munchkin-cthulhu
fake-wolf-feet,Fake Wolf Feet,Волколапы,full_page,munchkin-bites
falling-piano,Falling Piano /,,full_page,munchkin-impossible
false-alarm,False Alarm,Катастрофа! Ложная тревога,full_page,apocalypse|munchkin-apocalypse
false-seeming,False Seeming,Поддельный облик,full_page,munchkin-bites
familiar,Familiar,Фамильярик,full_page,unnatural-axe
fan-club,Fan Club,Дубинка охлаждения пыла,full_page,half-horse-will-travel
fanatic-henchmen,Fanatic Henchmen /,,full_page,munchkin-impossible
fanatic-martial-artist,Fanatic Martial Artist,Фанат боевых искусств,full_page,the-narrow-s-cape
fanfaronade,Fanfaronade /,,full_page,pants-macabre
fang-yu,Fang Yu,Цоп Тя,full_page,munchkin-fu
fanged-fuzzball,Fanged Fuzzball,Клыкастый Космоклок,full_page,star-munchkin
fanged-ring,Fanged Ring /,,full_page,munchkin-conan
fangpaste,Fangpaste,Клычная паста,full_page,munchkin-bites
fangs,Fangs,Клыки,full_page,munchkin-zombies
farmer,Farmer,Фермер,full_page,armed-and-dangerous
fascination,Fascination,Обворожение,full_page,munchkin-bites
fast,Fast,Быстрый,full_page,armed-and-dangerous|munchkin-zombies
fast-food,Fast Food,Перекуси на бегу,full_page,armed-and-dangerous
fast-food-restaurant-of-the-dead,Fast Food Restaurant of the Dead /,,full_page,hideous-hideouts
fat-bat,Fat Bat,Толстопырь,full_page,munchkin-bites
fat-cat,Fat Cat,Дон Мурлеоне,full_page,munchkin-kittens
fatbeard,Fatbeard /,,full_page,jump-the-shark
fate-worse-than-death,Fate Worse Than Death,Участь хуже смерти,full_page,super-munchkin
fated-to-repeat-history,Fated To Repeat History /,,full_page,crazed-caverns
favor-from-the-triads,Favor From the Triads,,set_listing_only,monky-business
favorite-machete,Favorite Machete,,set_listing_only,munchkin-tricky-treats
fearsome-tattoos,Fearsome Tattoos /,,full_page,jump-the-shark
feather-fu,Feather Fu,Кунг-Фу Пера,full_page,munchkin-fu
feathered-headdress,Feathered Headdress,Головное оперение,full_page,munchkin-legends
fee-fi-fo-fu,Fee Fi Fo Fu,,set_listing_only,monky-business
feed-friends-to-cthulhoo,Feed Friends To Cthulhoo /,,full_page,the-unspeakable-vault
feed-gms-dice-habit,Feed GM's Dice Habit,Угоди Вкусу Мастера,full_page,cheat-with-both-hands
feed-the-fish,Feed the Fish!,Душевняе порывы!,full_page,munchkin-booty
feet-cheat,Feet Cheat,Ножной чит,full_page,munchkin-promo
feet-worse-than-death,Feet Worse Than Death,Смердоносные ноги,full_page,the-need-for-steed
feline,Feline,Котейка,full_page,star-munchkin|the-clown-wars
feline-intervention,Feline Intervention,Котошественное вмешательство,full_page,clerical-errors
fema-trailer,Fema Trailer,«Газеболь» МЧС,full_page,apocalypse|munchkin-apocalypse
femme-fatale,Femme Fatale /,,full_page,munchkin-impossible
fenris,Fenris,Фенрир,full_page,munchkin-legends
feral-poodles,Feral Poodles,Свирепые пудели,full_page,apocalypse|munchkin-apocalypse
festivus-pole,Festivus Pole /,,full_page,reindeer-games
fetish-object,Fetish Object,Фетиш,full_page,munchkin-zombies
fez-of-fazooli,Fez of Fazooli,Феска Фазули,full_page,munchkin-cthulhu
fickle-ichor,Fickle Ichor /,,full_page,the-unspeakable-vault
fiddleback-venom,Fiddleback Venom,Смычковый яд,full_page,munchkin-pathfinder
figurehead,Figurehead,Носовая фигура,full_page,munchkin-booty
filthy-geats,Filthy Geats,Грязные вандалы,full_page,clerical-errors
filthy-rich,Filthy Rich,Бессовестно богатый,full_page,clerical-errors
filthy-serape,Filthy Serape /,,full_page,the-good-the-bad-and-the-munchkin
find-a-map,Find A Map,Найди карту,full_page,unnatural-axe
find-a-path,Find a Path,Найди путь,full_page,munchkin-pathfinder
find-atlantis,Find Atlantis,Отыщи Атлантиду,full_page,munchkin-legends
find-nemo,Find Nemo /,,full_page,jump-the-shark
find-the-fountain-of-youth,Find the Fountain of Youth,Найди источник вечной молодости,full_page,munchkin-legends
find-the-secret-door,Find The Secret Door,Найди потайной ход,full_page,de-ranged
fine-gray-shark,Fine Gray Shark,Славная Серая Акула,full_page,munchkin-booty
fing-a-safe-house,Fing a Safe House,Найди убежище,full_page,sheep-impact
finger-claws,Finger Claws,Накладные коготки,full_page,munchkin-bites
finger-ring,Finger Ring,Перстень,full_page,munchkin-steampunk
fire-ants,Fire Ants /,,full_page,the-good-the-bad-and-the-munchkin
fire-ants-0,Fire Ants,Огненные муравьи,full_page,apocalypse|munchkin-apocalypse
fire-arms,Fire Arms,Ладонь-огонь,full_page,de-ranged
fire-breathing-bridle,Fire-Breathing Bridle,Сбруя жгучего выдоха,full_page,the-need-for-steed
fire-hydrant,Fire Hydrant /,,full_page,pants-macabre
fire-hydrant-0,Fire Hydrant,Пожарный гидрант,full_page,munchkin-zombies
firecrackers,Firecrackers,Петарды,full_page,munchkin-fu
firegut,Firegut,Кишечная зажигалочка,set_listing_only,munchkin-pathfinder
fireman,Fireman,Пожарный,full_page,munchkin-zombies
firemans-axe,Fireman's Axe /,,full_page,axe-cop|munchkin-axe-cop
fireship,Fireship /,,full_page,fish-ships
firewater,Firewater /,,full_page,the-good-the-bad-and-the-munchkin
fireworks-salesman,Fireworks Salesman,Продавец фейерверков,full_page,armed-and-dangerous
firmly-attached-doberman,Firmly Attached Doberman,Мертвая хватка,full_page,munchkin-zombies
first-aid-kit,First Aid Kit,Аптечка,full_page,apocalypse|munchkin-apocalypse
first-world-problem,First World Problem,Катастрофа! Проблемы первого мира,full_page,sheep-impact
fish,Fish,Рыбувь,full_page,armed-and-dangerous
fish-in-a-barrel,Fish in a Barrel /,,full_page,fish-ships
fishing-pole,Fishing Pole,Удочка,full_page,sheep-impact
fishing-ring,Fishing Ring,Макрельное кольцо,full_page,half-horse-will-travel
fists-of-furry,Fists of Furry,,set_listing_only,monky-business
five-gold-rings,Five Gold Rings /,,full_page,santas-revenge
five-year-toenails,Five Year Toenails,Ногти Пятилетней Выдержки,full_page,munchkin-fu
fixed-gear-bicycle,Fixed Gear Bicycle,Велосипед-«фикс»,full_page,munchkin-hipsters
flagon-of-wine,Flagon of Wine /,,full_page,munchkin-conan
flakman,Flakman,Зенитоид,full_page,super-munchkin
flame-of-salome,Flame of Salome /,,full_page,munchkin-conan
flame-powder,Flame Powder,Пламенный Порох,full_page,munchkin-fu
flames,Flames,Пламеннсть,full_page,super-munchkin|the-narrow-s-cape
flamethrower,Flamethrower,Огнемёт,full_page,munchkin-cthulhu
flaming,Flaming,Пламенеющий,full_page,de-ranged
flaming-armor,Flaming Armor,Пылающие латы,full_page,munchkin
flaming-poison-potion,Flaming Poison Potion,Зелье Пламенной Отравы,full_page,munchkin
flash-flood,Flash Flood /,,full_page,the-good-the-bad-and-the-munchkin
flashlight,Flashlight /,,full_page,axe-cop|munchkin-axe-cop
flashlight-goes-out,Flashlight Goes Out!,Батарейки сели!,full_page,munchkin-cthulhu
flask-of-glue,Flask of Glue,Фляга клея,full_page,munchkin
flat-bat,Flat Bat /,,full_page,pants-macabre
flatness,Flatness,Плоскость,full_page,super-munchkin
flatulent-steed,Flatulent Steed,Газующий скакун,full_page,the-need-for-steed
flatwyrm,Flatwyrm /,,full_page,munchkin-dragons
flawed-theory,Flawed Theory!,Теория с изъяном,full_page,munchkin-steampunk
flayleaf-powder,Flayleaf Powder,Порошок освежелиста,set_listing_only,munchkin-pathfinder
flee-for-your-lives-0,Flee For Your Lives! /,,full_page,munchkin-conan
flee-powder,Flee Powder,Когтервотный порошок,full_page,munchkin-bites
fleeing-saucer,Fleeing Saucer /,,full_page,space-ships
flesh-eating-begonias,Flesh-Eating Begonias,Плотоядные бегонии,full_page,super-munchkin
flexible-character-concept,Flexible Character Concept,Гибкая концепция персонажа,full_page,the-narrow-s-cape
flight,Flight,Полёт,full_page,super-munchkin
floating-nose,Floating Nose,Блуждающий нос,full_page,munchkin
flotsam,Flotsam /,,full_page,jump-the-shark
flower-pots,Flower Pots,Цветочные горшки,full_page,munchkin-zombies
flu-manchu,Flu Manchu,Доктор Чхи Манчу,full_page,the-narrow-s-cape
fluffy,Fluffy,Пушистый,full_page,munchkin-bites
fluoroscopic-vision,Fluoroscopic Vision,Рентгиновское зрение,full_page,super-munchkin
flute,Flute /,,full_page,axe-cop|munchkin-axe-cop
fly-by-knight,Fly-By Knight,Пьянствующий рыцарь,full_page,munchkin-knights
flying-car,Flying Car /,,full_page,munchkin-impossible
flying-carpet,Flying Carpet,Летучий ковёр,full_page,de-ranged
flying-dutchman,Flying Dutchman /,,full_page,jump-the-shark
flying-fish,Flying Fish /,,full_page,jump-the-shark
flying-frogs,Flying Frogs,Летучие лягушки,full_page,munchkin
flying-monkeys,Flying Monkeys,Летучие обезьяны,full_page,munchkin-legends
flying-skull,Flying Skull,Летучий череп,full_page,munchkin-steampunk
flypaper-floors,Flypaper Floors!,Мухоловные полы!,full_page,the-need-for-steed
flypaper-necktie,Flypaper Necktie,Галстух,full_page,munchkin-zombies
foggoth,Foggoth,Смоггот,full_page,munchkin-cthulhu
fold-spindle-and-mutilate,"Fold, Spindle, and Mutilate","Мять, рвать и протыкать",full_page,unnatural-axe
folding-chair-of-retribution,Folding Chair of Retribution,Складной Стул Воздаяния,full_page,munchkin-fu
foof-gun,Foof Gun,Пых-пушка,full_page,star-munchkin
fooled-by-store-dummy,Fooled by Store Dummy,Обманекинули!,full_page,munchkin-zombies
fools-gold,Fool's Gold /,,full_page,the-good-the-bad-and-the-munchkin
fools-gold-0,Fool's Gold,Нескладный клад,full_page,unnatural-axe
foot,Foot,Нога,full_page,the-narrow-s-cape
foot-mounted-mase,Foot-Mounted Mase,Ножная булава,full_page,clerical-errors
foot-powder,Foot Powder,Присыпка для Ног,full_page,munchkin-fu
football-helmet,Football Helmet /,,full_page,axe-cop|munchkin-axe-cop
footicles,Footicles /,,full_page,the-unspeakable-vault
footprints,Footprints,Следы,full_page,cheat-with-both-hands
forbidden-knowledge,Forbidden Knowledge /,,full_page,munchkin-conan
force-fists,Force Fists,Силовые кулаки,full_page,the-narrow-s-cape
forced-into-the-arena,Forced Into The Arena! /,,full_page,munchkin-conan
forecastle,Forecastle /,,full_page,jump-the-shark
forewarned-and-four-armed,Forewarned and Four-Armed,Предупреждён и очетвероручен,full_page,super-munchkin
forged-id,Forged ID,Поддельная Ксива,full_page,star-munchkin
forked-tongue,Forked Tongue,Раздвоенный язык,full_page,munchkin-zombies
form-of-mist,Form of Mist,Туманизм,full_page,munchkin-bites
fort-deadly,Fort Deadly /,,full_page,hideous-hideouts
fort-knight,Fort Knight,Фортовый рыцарь,full_page,munchkin-knights
fortune-cookie,Fortune Cookie,,set_listing_only,monky-business
foul-cigar,Foul Cigar,Курение вредит здоровью,full_page,munchkin-steampunk
four-dimensional,Four-Dimensional,Четырёхмерный,full_page,munchkin-cthulhu
four-more-wimpy-thugs,Four More Wimpy Thugs,Ещё четверо подонков,full_page,the-narrow-s-cape
fourth-armored-division-miniaturized,Fourth Armored Division (Miniaturized),Четвёртая танковая дивизия (в миниатюре),full_page,munchkin-steampunk
fowl-fienf,Fowl Fienf,Куродемон,full_page,clerical-errors
fox-kung-fu,Fox Kung Fu,Лисье Кунг-Фу,full_page,munchkin-fu
fox-spirit,Fox Spirit,Лисицын Дух,full_page,munchkin-fu
fractal-pterodactyl,Fractal Pterodactyl,Фрактальный птеродактиль,full_page,the-clown-wars
framed-for-treason,Framed for Treason /,,full_page,munchkin-impossible
frank-limejello,Frank Limejello,Фрэнк Лимонелла,full_page,munchkin-bites
frank-the-tank,Frank The Tank,Франк-Танк,full_page,star-munchkin
fraught-with-religious-significance,... Fraught With Religious Significance,Преисполненный религиозной значимости,full_page,apocalypse|munchkin-apocalypse
free-range,Free-Range,Выращенный в естественных условиях,full_page,munchkin-hipsters
freezing-explosive-potion,Freezing Explosive Potion,Замораживающее взрывное зелье,full_page,munchkin
french,French,Француз,full_page,jump-the-shark|munchkin-booty
french-maid,French Maid,Горничная,full_page,armed-and-dangerous
frenzied,Frenzied,Бешеный,full_page,sheep-impact
frenzied-howl,Frenzied Howl /,,full_page,call-of-cowthulhu
freudian-slippers,Freudian Slippers,Опорки по Фрейду,full_page,clerical-errors
fridge,Fridge,Холодильник,full_page,sheep-impact
friendly,Friendly,Миляга,full_page,unnatural-axe
friendly-fire,Friendly Fire,Дружественный огонь,full_page,apocalypse|munchkin-apocalypse
friendly-geishas,Friendly Geishas,Любезные Гейши,full_page,munchkin-fu
friendship-potion,Friendship Potion,Зелье Дружбы,full_page,munchkin
fries,Fries,Картошки,full_page,cheat-with-both-hands
frog-prince,Frog Prince,Царевич-лягушка,full_page,half-horse-will-travel
frogarang,Frogarang,Жабуранг,full_page,the-narrow-s-cape
froggoth,Froggoth,Кваггот,full_page,munchkin-cthulhu
from-another-dimension,From Another Dimension,Из Другого Измерения,full_page,star-munchkin
from-hell,...From Hell,…из Ада,full_page,clerical-errors|the-need-for-steed
frost-giant,Frost Giant,Снеговичище,full_page,unnatural-axe
frost-giants-axe,Frost Giant's Axe /,,full_page,munchkin-conan
frostspore-potion,Frostspore Potion,Зелье хладогриба,set_listing_only,munchkin-pathfinder
frothing,Frothing,Пенящийся,full_page,munchkin-cthulhu
frowny-face,Frowny Face,Хмурая рожа,full_page,munchkin-zombies
frozen-shoggy,Frozen Shoggy /,,full_page,the-unspeakable-vault
fruit-bats,Fruit Bats,Фруктопыри,full_page,munchkin-bites
fruit-combat-training,Fruit Combat Training /,,full_page,munchkin-impossible
fruitcake,Fruitcake /,,full_page,waiting-for-santa
frying-pan-of-wrath,Frying Pan of Wrath /,,full_page,pants-macabre
fu-bar,Fu Bar,,set_listing_only,monky-business
fu-shoes,Fu Shoes,,set_listing_only,monky-business
fugu,Fugu,,set_listing_only,monky-business
fulfill-ancient-prophecy,Fulfill Ancient Prophecy,,set_listing_only,monky-business
fun-gi,Fun Gi,,set_listing_only,monky-business
fun-guy-from-yuggoth,Fun Guy from Yuggoth,Смешной сморчок с Юггота,full_page,munchkin-cthulhu
fungus,Fungus,Грибок,full_page,unnatural-axe
funicular-decampment,Funicular Decampment,"Манчкин сваливает от монстра, сев на фуникулёр",full_page,munchkin-steampunk
funny-bone,Funny Bone,Весёлая косточка,full_page,munchkin-zombies
funny-looking-sword,Funny-Looking Sword,Меч забавной формы,full_page,unnatural-axe
funny-shaped,Funny-Shaped,Головоногий,full_page,de-ranged
furies,Furies,Фурии,full_page,munchkin-legends
fuzzball,Fuzzball,Космоклок,full_page,star-munchkin
gadgeteer,Gadgeteer,Гаджестянщик,full_page,star-munchkin|the-clown-wars
gaff,Gaff,Багор,full_page,munchkin-booty
galleon,Galleon,Галеон,full_page,munchkin-booty
galley,Galley /,,full_page,jump-the-shark
gallinipper,Gallinipper /,,full_page,beating-a-dead-horse
galoshes,Galoshes,Галоши,full_page,munchkin-cthulhu
game-show-host,Game Show Host,Телеведущий,full_page,munchkin-zombies
game-store-manager,Game Store Manager,Игропродавец,full_page,cheat-with-both-hands
gang-grells,Gang Grells /,,full_page,pants-macabre
gaping-mouth,Gaping Mouth,Пасть нараспашку,full_page,munchkin-zombies
garage-door-opener,Garage Door Opener,Пульт от гаражной двери,full_page,the-clown-wars
garage-sale,Garage Sale,Распродажа,full_page,unnatural-axe
garden-hose,Garden Hose,Садовый шланг,full_page,armed-and-dangerous
gargoyle-spill,Gargoyle Spill,Катастрофа! Утечка горгулия,full_page,sheep-impact
garlic-powder,Garlic Powder,Чесночный порошок,full_page,munchkin-bites
gas-giant,Gas Giant,Газовый Гигант,full_page,star-munchkin
gas-mask,Gas Mask /,,full_page,munchkin-impossible
gat-bat,Gat Bat /,,full_page,pants-macabre
gate-of-the-old-ones,Gate of the Old Ones /,,full_page,crazed-caverns
gatling-gun,Gatling Gun /,,full_page,the-good-the-bad-and-the-munchkin
gator-aides,Gator Aides,Помогаторы,full_page,half-horse-will-travel
gazebo,Gazebo,Газебо,full_page,munchkin
gazer,Gazer,Глазер,full_page,the-clown-wars
gear-beer,Gear Beer,Шестерёное пойло,full_page,munchkin-steampunk
gear-fear,Gear Fear,Шестерёнкофобия,full_page,munchkin-steampunk
gear-fist,Gear-Fist,Шестерённый кастет,full_page,munchkin-steampunk
gear-shift,Gear Shift,Переключатель передач,full_page,munchkin-steampunk
gearhead,Gearhead,Зубцеголовый,set_listing_only,munchkin-steampunk
geb,Geb,Геб,full_page,munchkin-pathfinder
geek-ones,Geek Ones,Гиканутые,full_page,munchkin-cthulhu
geiger-counter,Geiger Counter,Счётчик Гейгера,full_page,armed-and-dangerous
geisha-gorgon,Geisha Gorgon,Гейша Горгона,full_page,munchkin-fu
gelatinous-octahedron,Gelatinous Octahedron,Желатиновый октаэдр,full_page,munchkin
gender-blender,Gender Blender,Половой вопрос,full_page,half-horse-will-travel
general-disorder,General Disorder /,,full_page,munchkin-impossible
general-tso,General Tso,,set_listing_only,monky-business
generic,Generic /,,full_page,monster-enhancers
generic-guy,Generic Guy,Человек-заготовка,full_page,super-munchkin
generic-minion,Generic Minion,Миньон типовой,full_page,munchkin-bites
generosity,Generosity,Щедрость,full_page,unnatural-axe
generosity-potion,Generosity Potion,Щедрозелье,full_page,munchkin-fu
genetic-drift,Genetic Drift,Генетический сдвиг,full_page,half-horse-will-travel
genetic-regression,Genetic Regression,Генетический Регресс,full_page,star-munchkin
genetically-modified-apple,Genetically Modified Apple,Генетически модифицированное яблоко,set_listing_only,munchkin-princesses
genghis-cong,Genghis Cong,,set_listing_only,monky-business
gentle-cloud-brass-knuckles,Gentle Cloud Brass Knuckles,,set_listing_only,monky-business
gentlemans-club,Gentleman's Club,Джентельменский прибор,full_page,munchkin
german-shepherds,German Shepherds /,,full_page,munchkin-naughty-nice|naughty-nice
get-a-long-little-doggie,Get A Long Little Doggie /,,full_page,the-good-the-bad-and-the-munchkin
get-all-blobby,Get All Blobby,Утрата формы,full_page,munchkin-cthulhu
get-new-indian-name,Get New Indian Name /,,full_page,the-good-the-bad-and-the-munchkin
get-off-the-grid,Get Off the Grid,Обруби концы,full_page,apocalypse|munchkin-apocalypse
ghast-from-the-past,Ghast from the Past /,,full_page,munchkin-undead
ghillie-suit,Ghillie Suit,Спрятхалат,full_page,apocalypse|munchkin-apocalypse
ghost-in-the-machine,Ghost in the Machine,Призрак на колёсах,full_page,sheep-impact
ghost-in-the-shell,Ghost in the Shell,Призрак в панцире,full_page,de-ranged
ghost-of-christmas-presents,Ghost of Christmas Presents /,,full_page,reindeer-games
ghost-rider,Ghost Rider /,,full_page,the-good-the-bad-and-the-munchkin
ghost-writer,Ghost Writer,Призрачный писака,full_page,the-need-for-steed
ghosts-on-the-half-shell,Ghosts on the Half Shell /,,full_page,munchkin-undead
ghoul-friday,Ghoul Friday,Упыристка,set_listing_only,munchkin-pathfinder
ghoul-lash,Ghoul Lash,Лич-бич,full_page,clerical-errors
ghoul-minion,Ghoul Minion /,,full_page,pants-macabre
ghoulbladder,Ghoulbladder,Желчный пузырь,full_page,munchkin-zombies
ghoulfiends,Ghoulfiends,Мадемонуазели,full_page,munchkin
ghouls,Ghouls /,,full_page,the-unspeakable-vault
giant-ants,Giant Ants,Гигантские Муравьи,full_page,star-munchkin
giant-atomic,Giant Atomic,Гигантский атомный,full_page,apocalypse|munchkin-apocalypse
giant-cockroach,Giant Cockroach,Тараканище,full_page,unnatural-axe
giant-flashing-elder-sign,Giant Flashing Elder Sign /,,full_page,crazed-caverns
giant-magnet,Giant Magnet,Гигантский магнит,full_page,super-munchkin
giant-meteor,Giant Meteor,Катастрофа! Гигантский метеорит,full_page,apocalypse|munchkin-apocalypse
giant-mutant-gerbil-steed,Giant Mutant Gerbil Steed,Скаковой тушкан-переросток,full_page,the-need-for-steed
giant-octopus,Giant Octopus /,,full_page,jump-the-shark
giant-robot-zombie,Giant Robot Zombie /,,full_page,axe-cop|munchkin-axe-cop
giant-skunk,Giant Skunk,Гигантский скунс,full_page,unnatural-axe
giant-spider,Giant Spider /,,full_page,munchkin-conan
giant-whirling-blades,Giant Whirling Blades,Гигантские вращающиеся лезвия,full_page,super-munchkin
gibbering,Gibbering,Бормочущий,full_page,munchkin-cthulhu
gift-from-the-ancestors,Gift From the Ancestors!,Дары Предков!,full_page,munchkin-fu
gift-from-the-gods,Gift From the Gods!,Дар богов!,full_page,munchkin-legends
giger-counter,Giger Counter,Счётчик Гигера,full_page,sheep-impact
gila-monster,Gila Monster /,,full_page,the-good-the-bad-and-the-munchkin
girl-sprout,Girl Sprout,Скаутинка,full_page,munchkin-zombies
girl-wrestler,Girl Wrestler,Борьбаба,full_page,munchkin-fu
give-gm-secret-message,Give GM Secret Message /,,full_page,munchkin-impossible
gladiator-armor,Gladiator Armor /,,full_page,munchkin-conan
glass-bottom,Glass Bottom /,,full_page,fish-ships
glass-jaw,Glass Jaw,Стеклянная челюсть,full_page,de-ranged
glass-slippers,Glass Slippers,Хрустальные башмачки,full_page,munchkin-legends
glass-sneakers,Glass Sneakers,Хрустальные кеды,set_listing_only,munchkin-princesses
glitter,Glitter /,,full_page,pants-macabre
global-worming,Global Worming,Катастрофа! Глобальное почервление,full_page,apocalypse|munchkin-apocalypse
glowing-talons,Glowing Talons,Когти сияния,full_page,munchkin-zombies
glue-some-gears-on-it-and-call-it-steampunk,Glue Some Gears on it and Call it Steampunk,"Приклей туда шестерёнку и скажи, что это стимпанк",full_page,munchkin-steampunk
gluten-filled,Gluten-Filled,Объевшийся глютена,full_page,munchkin-hipsters
gm-enforces-rules,GM Enforces Rules!,Игра По Правилам,full_page,cheat-with-both-hands
gms-ex-girlfriend,GM's Ex-Girlfriend,Бывшая подруга мастера,full_page,de-ranged
gnarlythotep,Gnarlythotep,Нереалитотеп,full_page,munchkin-cthulhu
gnat-bats,Gnat Bats /,,full_page,pants-macabre
gnome,Gnome,Гном,full_page,clerical-errors|de-ranged|the-need-for-steed
gnome-hireling,Gnome Hireling,Гном-наёмничек,full_page,the-need-for-steed
gnomex-suit,Gnomex Suit,Гномексовый комбез,full_page,clerical-errors
go-hang,Go Hang,Вей Шай,full_page,munchkin-fu
go-out-for-a-bier,Go Out for a Bier /,,full_page,pants-macabre
go-skeet-shooting,Go Skeet Shooting,Прибей комара,full_page,sheep-impact
goawayser,Goawayser,Идиназер,full_page,the-clown-wars
gobblin’,Gobblin’,Гоблодный,full_page,munchkin-pathfinder
goblin,Goblin,Гоблин,set_listing_only,munchkin-pathfinder
goblin-dog,Goblin Dog,Гоблопёсик,full_page,munchkin-pathfinder
goblin-rash,Goblin Rash,Гоблинская сыпь,set_listing_only,munchkin-pathfinder
goblin-snake,Goblin Snake,Гоблозмейка,set_listing_only,munchkin-pathfinder
goblin-sweat,Goblin Sweat,Гоблинский пот,set_listing_only,munchkin-pathfinder
gog-and-magog,Gog and Magog,Гог и Магог,full_page,apocalypse|munchkin-apocalypse
gol-darned,Gol-Darned /,,full_page,the-good-the-bad-and-the-munchkin
gold-bars,Gold Bars /,,full_page,munchkin-impossible
gold-brick,Gold Brick,Золотой слиток,full_page,armed-and-dangerous
gold-plated,Gold-Plated,Позолоченое,full_page,cheat-with-both-hands
golden-apples,Golden Apples,Золотые яблоки,full_page,munchkin-legends
golden-axe,Golden Axe /,,full_page,axe-cop|munchkin-axe-cop
golden-fleece,Golden Fleece,Золотое руно,full_page,munchkin-legends
golden-golem,Golden Golem,Золотой голем,full_page,munchkin-steampunk
golden-idol,Golden Idol /,,full_page,munchkin-conan
golden-wine-of-xuthal,Golden Wine of Xuthal /,,full_page,munchkin-conan
goldfish,Goldfish,Золотая рыбка,full_page,clerical-errors
golf-club,Golf Club,Гольф-клюшка,full_page,super-munchkin
golfer,Golfer,Гольфист,full_page,munchkin-zombies
good-guy-machine,Good Guy Machine /,,full_page,axe-cop|munchkin-axe-cop
goodbye-old-paint,"Goodbye, Old Paint /",,full_page,beating-a-dead-horse
goopflinger,Goopflinger,Кашемётчик,full_page,super-munchkin
goth-boots,Goth Boots,Готские боты,full_page,munchkin-bites
gothyanki,Gothyanki,Готиянки,full_page,clerical-errors
gothzilla,Gothzilla,Готзилла,full_page,the-narrow-s-cape
graaaaaaaains,Graaaaaaaains!,Бурдааааа!,full_page,armed-and-dangerous
grabby-guts,Grabby Guts,Цепкая кишка,full_page,munchkin-zombies
grad-student,Grad Student,Дипломница,full_page,armed-and-dangerous
graffiti,Graffiti,Граффити,full_page,cheat-with-both-hands
gram-smoker,Gram Smoker,Агаша Куристи,full_page,munchkin-cthulhu
grandfather-frost,Grandfather Frost /,,full_page,waiting-for-santa
grape-jelly,Grape Jelly,Виноградное желе,full_page,the-need-for-steed
grape-old-ones,Grape Old Ones,Гроздные Выдержанные,full_page,munchkin-cthulhu
grape-shot,Grape Shot /,,full_page,jump-the-shark
grapnel-gun,Grapnel Gun,Кошкомёт,full_page,super-munchkin
grassy-gnoll,Grassy Gnoll,Травяной гнолль,full_page,unnatural-axe
grave-doubts,Grave Doubts,Копание в себе,full_page,munchkin-zombies
grave-error,Grave Error,Загробная ошибка,full_page,de-ranged
grave-mistake,Grave Mistake!,,set_listing_only,munchkin-undead
grave-robbers,Grave Robbers /,,full_page,pants-macabre
gravediggers-shovel,Gravedigger's Shovel,Лопата могильщика,full_page,munchkin-zombies
graveyard-mold,Graveyard Mold,Могильная земля,full_page,munchkin-bites
gravity-reverse,Gravity Reverse,Гравитационная Аномалия,full_page,star-munchkin
gray-diamond,Gray Diamond /,,full_page,axe-cop|munchkin-axe-cop
gray-goo,Gray Goo,Катастрофа! Серая слизь,full_page,apocalypse|munchkin-apocalypse
gray-lotus-powder,Gray Lotus Powder /,,full_page,munchkin-conan
gray-stone,Gray Stone /,,full_page,axe-cop|munchkin-axe-cop
grays,Grays,Серые Человечки,full_page,star-munchkin
grease-gun,Grease Gun,Смазкомёт,set_listing_only,munchkin-steampunk
grease-monkey,Grease Monkey,Смазливая мартышка,full_page,munchkin-steampunk
greased-lightning,Greased Lightning,Смазанная молния,full_page,munchkin-legends
great-cathulhu,Great Cathulhu,Великий Котулху,full_page,munchkin-kittens
great-cthulhoo,Great Cthulhoo /,,full_page,the-unspeakable-vault
great-cthulhu,Great Cthulhu,Великий Ктулху,full_page,munchkin-cthulhu
great-cthulhu-0,Great Cthulhu,Великий Ктулху,full_page,star-munchkin
great-cthulhu-1,Great Cthulhu,Великий Ктулху,full_page,apocalypse|munchkin-apocalypse
great-wall,Great Wall,Великая Стена,full_page,munchkin-fu
great-white-shark,Great White Shark,Крутая белая акула,full_page,munchkin-booty
